date,close
2026-01-02,100.00
2026-01-05,100.40
2026-01-06,100.10
2026-01-07,100.90
2026-01-08,101.30
2026-01-09,101.00
2026-01-12,101.80
2026-01-13,102.10
2026-01-14,101.90
2026-01-15,102.70
2026-01-16,103.00
2026-01-19,102.50
2026-01-20,103.20
2026-01-21,103.90
2026-01-22,104.40
2026-01-23,104.10
2026-01-26,104.90
2026-01-27,105.30
2026-01-28,105.00
2026-01-29,105.80
2026-01-30,106.20
2026-02-02,106.00
2026-02-03,106.70
2026-02-04,107.40
2026-02-05,107.10
2026-02-06,107.90
2026-02-09,108.30
2026-02-10,108.00
2026-02-11,108.70
2026-02-12,109.20
2026-02-13,109.00
2026-02-16,109.80
2026-02-17,110.40
2026-02-18,110.10
2026-02-19,111.00
2026-02-20,111.50
2026-02-23,111.20
2026-02-24,112.00
2026-02-25,112.70
2026-02-26,112.40
